BaseName	CharacterOrientation	Country	DisplayCountry	DisplayLanguage	DisplayLanguageWithDialect	DisplayName	DisplayNameWithDialect	DisplayScript	DisplayScriptInContext	DisplayVariant	ISO3Country	ISO3Language	Language	LineOrientation	Name	Script	Variant
ar_EH	right-to-left	EH	西サハラ	アラビア語	ar_EH	アラビア語 (西サハラ)	アラビア語 (西サハラ)	-	-	-	ESH	ara	ar	top-to-bottom	ar_EH	-	-
ar_ER	right-to-left	ER	エリトリア	アラビア語	ar_ER	アラビア語 (エリトリア)	アラビア語 (エリトリア)	-	-	-	ERI	ara	ar	top-to-bottom	ar_ER	-	-
ar_IL	right-to-left	IL	イスラエル	アラビア語	ar_IL	アラビア語 (イスラエル)	アラビア語 (イスラエル)	-	-	-	ISR	ara	ar	top-to-bottom	ar_IL	-	-
ar_IQ	right-to-left	IQ	イラク	アラビア語	ar_IQ	アラビア語 (イラク)	アラビア語 (イラク)	-	-	-	IRQ	ara	ar	top-to-bottom	ar_IQ	-	-
ar_JO	right-to-left	JO	ヨルダン	アラビア語	ar_JO	アラビア語 (ヨルダン)	アラビア語 (ヨルダン)	-	-	-	JOR	ara	ar	top-to-bottom	ar_JO	-	-
ar_KM	right-to-left	KM	コモロ	アラビア語	ar_KM	アラビア語 (コモロ)	アラビア語 (コモロ)	-	-	-	COM	ara	ar	top-to-bottom	ar_KM	-	-
ar_KW	right-to-left	KW	クウェート	アラビア語	ar_KW	アラビア語 (クウェート)	アラビア語 (クウェート)	-	-	-	KWT	ara	ar	top-to-bottom	ar_KW	-	-
ar_LB	right-to-left	LB	レバノン	アラビア語	ar_LB	アラビア語 (レバノン)	アラビア語 (レバノン)	-	-	-	LBN	ara	ar	top-to-bottom	ar_LB	-	-
ar_LY	right-to-left	LY	リビア	アラビア語	ar_LY	アラビア語 (リビア)	アラビア語 (リビア)	-	-	-	LBY	ara	ar	top-to-bottom	ar_LY	-	-
ar_MA	right-to-left	MA	モロッコ	アラビア語	ar_MA	アラビア語 (モロッコ)	アラビア語 (モロッコ)	-	-	-	MAR	ara	ar	top-to-bottom	ar_MA	-	-
ar_MR	right-to-left	MR	モーリタニア	アラビア語	ar_MR	アラビア語 (モーリタニア)	アラビア語 (モーリタニア)	-	-	-	MRT	ara	ar	top-to-bottom	ar_MR	-	-
ar_OM	right-to-left	OM	オマーン	アラビア語	ar_OM	アラビア語 (オマーン)	アラビア語 (オマーン)	-	-	-	OMN	ara	ar	top-to-bottom	ar_OM	-	-
ar_PS	right-to-left	PS	パレスチナ自治区	アラビア語	ar_PS	アラビア語 (パレスチナ自治区)	アラビア語 (パレスチナ自治区)	-	-	-	PSE	ara	ar	top-to-bottom	ar_PS	-	-
ar_QA	right-to-left	QA	カタール	アラビア語	ar_QA	アラビア語 (カタール)	アラビア語 (カタール)	-	-	-	QAT	ara	ar	top-to-bottom	ar_QA	-	-
ar_SA	right-to-left	SA	サウジアラビア	アラビア語	ar_SA	アラビア語 (サウジアラビア)	アラビア語 (サウジアラビア)	-	-	-	SAU	ara	ar	top-to-bottom	ar_SA	-	-
ar_SD	right-to-left	SD	スーダン	アラビア語	ar_SD	アラビア語 (スーダン)	アラビア語 (スーダン)	-	-	-	SDN	ara	ar	top-to-bottom	ar_SD	-	-
ar_SO	right-to-left	SO	ソマリア	アラビア語	ar_SO	アラビア語 (ソマリア)	アラビア語 (ソマリア)	-	-	-	SOM	ara	ar	top-to-bottom	ar_SO	-	-
ar_SS	right-to-left	SS	南スーダン	アラビア語	ar_SS	アラビア語 (南スーダン)	アラビア語 (南スーダン)	-	-	-	SSD	ara	ar	top-to-bottom	ar_SS	-	-
ar_SY	right-to-left	SY	シリア	アラビア語	ar_SY	アラビア語 (シリア)	アラビア語 (シリア)	-	-	-	SYR	ara	ar	top-to-bottom	ar_SY	-	-
ar_TD	right-to-left	TD	チャド	アラビア語	ar_TD	アラビア語 (チャド)	アラビア語 (チャド)	-	-	-	TCD	ara	ar	top-to-bottom	ar_TD	-	-
ar_TN	right-to-left	TN	チュニジア	アラビア語	ar_TN	アラビア語 (チュニジア)	アラビア語 (チュニジア)	-	-	-	TUN	ara	ar	top-to-bottom	ar_TN	-	-
ar_YE	right-to-left	YE	イエメン	アラビア語	ar_YE	アラビア語 (イエメン)	アラビア語 (イエメン)	-	-	-	YEM	ara	ar	top-to-bottom	ar_YE	-	-
as	left-to-right	-	-	アッサム語	アッサム語	アッサム語	アッサム語	-	-	-	-	asm	as	top-to-bottom	as	-	-
as_IN	left-to-right	IN	インド	アッサム語	as_IN	アッサム語 (インド)	アッサム語 (インド)	-	-	-	IND	asm	as	top-to-bottom	as_IN	-	-
asa	left-to-right	-	-	アス語	アス語	アス語	アス語	-	-	-	-	asa	asa	top-to-bottom	asa	-	-
asa_TZ	left-to-right	TZ	タンザニア	アス語	asa_TZ	アス語 (タンザニア)	アス語 (タンザニア)	-	-	-	TZA	asa	asa	top-to-bottom	asa_TZ	-	-
ast	left-to-right	-	-	アストゥリアス語	アストゥリアス語	アストゥリアス語	アストゥリアス語	-	-	-	-	ast	ast	top-to-bottom	ast	-	-
ast_ES	left-to-right	ES	スペイン	アストゥリアス語	ast_ES	アストゥリアス語 (スペイン)	アストゥリアス語 (スペイン)	-	-	-	ESP	ast	ast	top-to-bottom	ast_ES	-	-
az	left-to-right	-	-	アゼルバイジャン語	アゼルバイジャン語	アゼルバイジャン語	アゼルバイジャン語	-	-	-	-	aze	az	top-to-bottom	az	-	-
az_Cyrl	left-to-right	-	-	アゼルバイジャン語	az_Cyrl	アゼルバイジャン語 (キリル文字)	アゼルバイジャン語 (キリル文字)	キリル文字	キリル文字	-	-	aze	az	top-to-bottom	az_Cyrl	Cyrl	-
az_Cyrl_AZ	left-to-right	AZ	アゼルバイジャン	アゼルバイジャン語	az_Cyrl_AZ	アゼルバイジャン語 (キリル文字、アゼルバイジャン)	アゼルバイジャン語 (キリル文字、アゼルバイジャン)	キリル文字	キリル文字	-	AZE	aze	az	top-to-bottom	az_Cyrl_AZ	Cyrl	-
az_Latn	left-to-right	-	-	アゼルバイジャン語	az_Latn	アゼルバイジャン語 (ラテン文字)	アゼルバイジャン語 (ラテン文字)	ラテン文字	ラテン文字	-	-	aze	az	top-to-bottom	az_Latn	Latn	-
az_Latn_AZ	left-to-right	AZ	アゼルバイジャン	アゼルバイジャン語	az_Latn_AZ	アゼルバイジャン語 (ラテン文字、アゼルバイジャン)	アゼルバイジャン語 (ラテン文字、アゼルバイジャン)	ラテン文字	ラテン文字	-	AZE	aze	az	top-to-bottom	az_Latn_AZ	Latn	-
bas	left-to-right	-	-	バサ語	バサ語	バサ語	バサ語	-	-	-	-	bas	bas	top-to-bottom	bas	-	-
bas_CM	left-to-right	CM	カメルーン	バサ語	bas_CM	バサ語 (カメルーン)	バサ語 (カメルーン)	-	-	-	CMR	bas	bas	top-to-bottom	bas_CM	-	-
be	left-to-right	-	-	ベラルーシ語	ベラルーシ語	ベラルーシ語	ベラルーシ語	-	-	-	-	bel	be	top-to-bottom	be	-	-
be_BY	left-to-right	BY	ベラルーシ	ベラルーシ語	be_BY	ベラルーシ語 (ベラルーシ)	ベラルーシ語 (ベラルーシ)	-	-	-	BLR	bel	be	top-to-bottom	be_BY	-	-
bem	left-to-right	-	-	ベンバ語	ベンバ語	ベンバ語	ベンバ語	-	-	-	-	bem	bem	top-to-bottom	bem	-	-
bem_ZM	left-to-right	ZM	ザンビア	ベンバ語	bem_ZM	ベンバ語 (ザンビア)	ベンバ語 (ザンビア)	-	-	-	ZMB	bem	bem	top-to-bottom	bem_ZM	-	-
bez	left-to-right	-	-	ベナ語	ベナ語	ベナ語	ベナ語	-	-	-	-	bez	bez	top-to-bottom	bez	-	-
bez_TZ	left-to-right	TZ	タンザニア	ベナ語	bez_TZ	ベナ語 (タンザニア)	ベナ語 (タンザニア)	-	-	-	TZA	bez	bez	top-to-bottom	bez_TZ	-	-
bg	left-to-right	-	-	ブルガリア語	ブルガリア語	ブルガリア語	ブルガリア語	-	-	-	-	bul	bg	top-to-bottom	bg	-	-
bg_BG	left-to-right	BG	ブルガリア	ブルガリア語	bg_BG	ブルガリア語 (ブルガリア)	ブルガリア語 (ブルガリア)	-	-	-	BGR	bul	bg	top-to-bottom	bg_BG	-	-
bm	left-to-right	-	-	バンバラ語	バンバラ語	バンバラ語	バンバラ語	-	-	-	-	bam	bm	top-to-bottom	bm	-	-
bm_ML	left-to-right	ML	マリ	バンバラ語	bm_ML	バンバラ語 (マリ)	バンバラ語 (マリ)	-	-	-	MLI	bam	bm	top-to-bottom	bm_ML	-	-
bn	left-to-right	-	-	ベンガル語	ベンガル語	ベンガル語	ベンガル語	-	-	-	-	ben	bn	top-to-bottom	bn	-	-
